dataset,it,size,implementation,pearson,cut,ymin,lower,middle,upper,ymax
1M_gz,1,990830,R,0.6215903781949541,42,0.2260931149538774,1.2126547285927458,1.6420159663211233,1.8703646632635862,1.9999999999992482
1M_gz,1,990830,R,0.6215903781949541,43,0.3741790843072371,1.2782026806943048,1.6664686854491548,1.8808917839544472,1.9999999999945406
1M_gz,1,990830,R,0.6215903781949541,44,0.5084247177907874,1.3385527076697084,1.6915696049183633,1.8919899792978823,1.9999999999999996
1M_gz,1,990830,R,0.6215903781949541,45,0.629290982726608,1.3941133383359323,1.7173787867740602,1.9039994044701927,1.9999999999989577
1M_gz,1,990830,R,0.6215903781949541,46,0.7423290485344555,1.4474843715924646,1.744616907271124,1.9175949047464496,1.9999999999976548
1M_gz,1,990830,R,0.6215903781949541,47,0.8570531848123976,1.5021036678700734,1.7768892802588838,1.9321482455736696,1.999999999998502
1M_gz,1,990830,R,0.6215903781949541,48,1.0054632777759547,1.5696939671625036,1.8144025558920782,1.94585032847632,1.9999999999993605
1M_gz,1,990830,R,0.6215903781949541,49,1.1880135878158078,1.6504540272079131,1.855392303171,1.9587612318792864,1.9999999999995457
1M_gz,1,990830,R,0.6215903781949541,50,1.4264406255108206,1.7554033198840582,1.9049095145024286,1.9747127354399192,1.9999999999988605
1M_gz,1,990830,jl,0.633678560988791,1,0.0,0.0006361800499815051,0.0033570937565923775,0.012296498749190754,0.029786932131785626
1M_gz,1,990830,jl,0.633678560988791,2,4.0190073491430667e-14,0.0029712366629315035,0.01314515052315568,0.040394172728519584,0.09652820545709984
1M_gz,1,990830,jl,0.633678560988791,3,2.4313884239290928e-14,0.005438755158235581,0.023575495061136542,0.06845679367536306,0.16298263440895377
1M_gz,1,990830,jl,0.633678560988791,4,3.3306690738754696e-16,0.008511807317621495,0.03558307796367055,0.10024098661802033,0.23783219741981954
1M_gz,1,990830,jl,0.633678560988791,5,9.691136781952991e-13,0.012209599255970705,0.049384236011149385,0.14013844996373767,0.3320298247203447
1M_gz,1,990830,jl,0.633678560988791,6,5.596856311740339e-12,0.017094449265944694,0.06565531171211775,0.19409866862022207,0.45960415104254504
1M_gz,1,990830,jl,0.633678560988791,7,1.8196555373606316e-13,0.02310643967259937,0.08498688846405877,0.26872731793766885,0.6371560161821354
1M_gz,1,990830,jl,0.633678560988791,8,9.747758156208874e-14,0.030974706040379857,0.1091652370834949,0.3842477763187404,0.9141505596094259
1M_gz,1,990830,jl,0.633678560988791,9,4.956035581926699e-13,0.04106813033238754,0.14190894565727652,0.5769599292248477,1.380794501291288
1M_gz,1,990830,jl,0.633678560988791,10,2.778888230636767e-13,0.05296804292153273,0.18403744076177586,0.8257634955868193,1.9849566323571834
1M_gz,1,990830,jl,0.633678560988791,11,9.636735853746359e-14,0.06704539541469162,0.2398596759571371,1.0014915705217295,1.9999999998624387
1M_gz,1,990830,jl,0.633678560988791,12,4.707345624410664e-14,0.0851148524954092,0.31398032697392736,1.0898794735692325,1.9999999995170747
1M_gz,1,990830,jl,0.633678560988791,13,3.141709115084268e-12,0.10738788499211527,0.40567631565281576,1.1494153335267687,1.9999999999985691
1M_gz,1,990830,jl,0.633678560988791,14,3.8056224838101116e-12,0.1329656778152346,0.5128084506414414,1.2014529722902059,1.9999999997853477
1M_gz,1,990830,jl,0.633678560988791,15,3.44058115331336e-13,0.16218478999082042,0.628884450943033,1.2457027809363637,1.9999999999478066
1M_gz,1,990830,jl,0.633678560988791,16,1.7042478539508465e-11,0.19208133138006328,0.7170520023938859,1.2820091679361139,1.9999999999071914
1M_gz,1,990830,jl,0.633678560988791,17,5.5596749426456427e-11,0.22036742190530875,0.7761073588333622,1.3139540883669352,1.999999999987458
1M_gz,1,990830,jl,0.633678560988791,18,5.890843368661081e-13,0.24677121225814283,0.8114049661172846,1.3418936394670298,1.999999999998677
1M_gz,1,990830,jl,0.633678560988791,19,3.080757871032347e-11,0.2702066802115713,0.83908374345699,1.3701402243552512,1.9999999999889626
1M_gz,1,990830,jl,0.633678560988791,20,1.2114753644709708e-11,0.2872387208130668,0.8536436726040781,1.3898607411436772,1.9999999997087892
1M_gz,1,990830,jl,0.633678560988791,21,5.6198601328105724e-11,0.30245971194969,0.8654290420000633,1.414034740135059,1.9999999999549174
1M_gz,1,990830,jl,0.633678560988791,22,8.637868198491105e-12,0.31183805077679905,0.8751995149829517,1.4331270888737013,1.9999999999835993
1M_gz,1,990830,jl,0.633678560988791,23,5.6841198414758765e-12,0.31752322327178956,0.8816886241828534,1.4548274664764842,1.9999999999949307
