dataset,it,size,implementation,step,t,clusters
subsample_it_1_size_12000,1,12000,jl_opt,FindAllMarkers,1.653721397,18
subsample_it_1_size_125000,1,125000,R,CreateSeuratObject,41.679838047,25
subsample_it_1_size_125000,1,125000,R,NormalizeData,16.002753816,25
subsample_it_1_size_125000,1,125000,R,FindVariableFeatures,48.399496616,25
subsample_it_1_size_125000,1,125000,R,ScaleData,15.363944908,25
subsample_it_1_size_125000,1,125000,R,RunPCA,161.003918226,25
subsample_it_1_size_125000,1,125000,R,FindNeighbors,41.607725963,25
subsample_it_1_size_125000,1,125000,R,FindClusters,83.429140174,25
subsample_it_1_size_125000,1,125000,R,RunUMAP,268.436545676,25
subsample_it_1_size_125000,1,125000,R,FindAllMarkers,14678.260650105,25
subsample_it_1_size_125000,1,125000,jl,CreateSeuratObject,9.718471585,22
subsample_it_1_size_125000,1,125000,jl,NormalizeData,6.882225497,22
subsample_it_1_size_125000,1,125000,jl,FindVariableFeatures,4.472551414,22
subsample_it_1_size_125000,1,125000,jl,ScaleData,1.607236379,22
subsample_it_1_size_125000,1,125000,jl,RunPCA,128.695771015,22
subsample_it_1_size_125000,1,125000,jl,FindNeighbors,6.79518169,22
subsample_it_1_size_125000,1,125000,jl,FindClusters,73.319750659,22
subsample_it_1_size_125000,1,125000,jl,RunUMAP,375.903547988,22
subsample_it_1_size_125000,1,125000,jl,FindAllMarkers,166.006153957,22
subsample_it_1_size_125000,1,125000,jl32,CreateSeuratObject,9.77375574,24
subsample_it_1_size_125000,1,125000,jl32,NormalizeData,5.913410392,24
subsample_it_1_size_125000,1,125000,jl32,FindVariableFeatures,3.557218663,24
subsample_it_1_size_125000,1,125000,jl32,ScaleData,0.875054849,24
subsample_it_1_size_125000,1,125000,jl32,RunPCA,63.609032999,24
subsample_it_1_size_125000,1,125000,jl32,FindNeighbors,4.800424007,24
subsample_it_1_size_125000,1,125000,jl32,FindClusters,55.977899301,24
subsample_it_1_size_125000,1,125000,jl32,RunUMAP,320.764476675,24
subsample_it_1_size_125000,1,125000,jl32,FindAllMarkers,144.596942058,24
subsample_it_1_size_125000,1,125000,py,CreateSeuratObject,8.854459994,20
subsample_it_1_size_125000,1,125000,py,NormalizeData,6.192901744,20
subsample_it_1_size_125000,1,125000,py,FindVariableFeatures,27.324015944,20
subsample_it_1_size_125000,1,125000,py,ScaleData,3.464620911,20
subsample_it_1_size_125000,1,125000,py,RunPCA,34.075801036,20
subsample_it_1_size_125000,1,125000,py,FindNeighbors,18.632946798,20
subsample_it_1_size_125000,1,125000,py,FindClusters,41.814966979,20
subsample_it_1_size_125000,1,125000,py,RunUMAP,392.61885678,20
subsample_it_1_size_125000,1,125000,py,FindAllMarkers,2716.375762765,20
subsample_it_1_size_125000,1,125000,jl32_opt,CreateSeuratObject,9.506845652,24
subsample_it_1_size_125000,1,125000,jl32_opt,NormalizeData,5.76465612,24
subsample_it_1_size_125000,1,125000,jl32_opt,FindVariableFeatures,3.53518117,24
subsample_it_1_size_125000,1,125000,jl32_opt,ScaleData,0.819479349,24
subsample_it_1_size_125000,1,125000,jl32_opt,RunPCA,16.325359637,24
subsample_it_1_size_125000,1,125000,jl32_opt,FindNeighbors,5.06840074,24
subsample_it_1_size_125000,1,125000,jl32_opt,FindClusters,60.054583208,24
subsample_it_1_size_125000,1,125000,jl32_opt,RunUMAP,221.281243839,24
subsample_it_1_size_125000,1,125000,jl32_opt,FindAllMarkers,49.63901297,24
subsample_it_1_size_125000,1,125000,jl_opt,CreateSeuratObject,10.318043877,25
subsample_it_1_size_125000,1,125000,jl_opt,NormalizeData,6.976966307,25
subsample_it_1_size_125000,1,125000,jl_opt,FindVariableFeatures,3.919845984,25
subsample_it_1_size_125000,1,125000,jl_opt,ScaleData,1.091209499,25
subsample_it_1_size_125000,1,125000,jl_opt,RunPCA,20.378871133,25
subsample_it_1_size_125000,1,125000,jl_opt,FindNeighbors,5.647272671,25
subsample_it_1_size_125000,1,125000,jl_opt,FindClusters,69.027407919,25
