dataset,it,size,implementation,step,t,clusters
subsample_it_1_size_12000,1,12000,jl32,RunPCA,3.748569644,17
subsample_it_1_size_12000,1,12000,jl32,FindNeighbors,0.335478621,17
subsample_it_1_size_12000,1,12000,jl32,FindClusters,1.298038981,17
subsample_it_1_size_12000,1,12000,jl32,RunUMAP,29.092832151,17
subsample_it_1_size_12000,1,12000,jl32,FindAllMarkers,12.636368579,17
subsample_it_1_size_12000,1,12000,py,CreateSeuratObject,1.093119541,15
subsample_it_1_size_12000,1,12000,py,NormalizeData,0.661960937,15
subsample_it_1_size_12000,1,12000,py,FindVariableFeatures,2.93576559,15
subsample_it_1_size_12000,1,12000,py,ScaleData,0.390707331,15
subsample_it_1_size_12000,1,12000,py,RunPCA,2.975039342,15
subsample_it_1_size_12000,1,12000,py,FindNeighbors,39.30352153,15
subsample_it_1_size_12000,1,12000,py,FindClusters,1.415296764,15
subsample_it_1_size_12000,1,12000,py,RunUMAP,41.488825407,15
subsample_it_1_size_12000,1,12000,py,FindAllMarkers,200.666635019,15
subsample_it_1_size_12000,1,12000,jl32_opt,CreateSeuratObject,1.468572694,18
subsample_it_1_size_12000,1,12000,jl32_opt,NormalizeData,0.521470765,18
subsample_it_1_size_12000,1,12000,jl32_opt,FindVariableFeatures,0.585088105,18
subsample_it_1_size_12000,1,12000,jl32_opt,ScaleData,0.044856301,18
subsample_it_1_size_12000,1,12000,jl32_opt,RunPCA,1.366687212,18
subsample_it_1_size_12000,1,12000,jl32_opt,FindNeighbors,0.361138997,18
subsample_it_1_size_12000,1,12000,jl32_opt,FindClusters,1.41898618,18
subsample_it_1_size_12000,1,12000,jl32_opt,RunUMAP,19.788913893,18
subsample_it_1_size_12000,1,12000,jl32_opt,FindAllMarkers,3.782013294,18
subsample_it_1_size_12000,1,12000,jl_opt,CreateSeuratObject,2.334476704,17
subsample_it_1_size_12000,1,12000,jl_opt,NormalizeData,0.657767533,17
subsample_it_1_size_12000,1,12000,jl_opt,FindVariableFeatures,0.774440851,17
subsample_it_1_size_12000,1,12000,jl_opt,ScaleData,0.052838908,17
subsample_it_1_size_12000,1,12000,jl_opt,RunPCA,1.617822808,17
subsample_it_1_size_12000,1,12000,jl_opt,FindNeighbors,0.395361652,17
subsample_it_1_size_12000,1,12000,jl_opt,FindClusters,1.298528957,17
subsample_it_1_size_12000,1,12000,jl_opt,RunUMAP,21.212843289,17
subsample_it_1_size_12000,1,12000,jl_opt,FindAllMarkers,1.584948032,17
subsample_it_1_size_125000,1,125000,R,CreateSeuratObject,48.282002091,25
subsample_it_1_size_125000,1,125000,R,NormalizeData,16.481871117,25
subsample_it_1_size_125000,1,125000,R,FindVariableFeatures,49.842969399,25
subsample_it_1_size_125000,1,125000,R,ScaleData,16.588696445,25
subsample_it_1_size_125000,1,125000,R,RunPCA,125.382627865,25
subsample_it_1_size_125000,1,125000,R,FindNeighbors,41.955102423,25
subsample_it_1_size_125000,1,125000,R,FindClusters,80.892602991,25
subsample_it_1_size_125000,1,125000,R,RunUMAP,263.915171635,25
subsample_it_1_size_125000,1,125000,R,FindAllMarkers,14971.858178356,25
