dataset,it,size,implementation,ari,ri,jaccard
subsample_it_4_size_12000,4,12000,jl,0.8542507159286141,0.9721077059076355,0.9851116625310173
subsample_it_4_size_12000,4,12000,jl32,0.7915012509954547,0.9623800138986621,0.9851116625310173
subsample_it_4_size_12000,4,12000,py,0.6280044596427455,0.9158288133084433,1.0
subsample_it_4_size_125000,4,125000,jl,0.8772804752869134,0.9817922022848112,0.9860973187686196
subsample_it_4_size_125000,4,125000,jl32,0.7312229816623684,0.9614670777684425,0.9860973187686196
subsample_it_4_size_125000,4,125000,py,0.5953897997252469,0.9339808850653061,1.0
subsample_it_4_size_25000,4,25000,jl,0.8820734403554313,0.9793930004807464,0.9870839542970691
subsample_it_4_size_25000,4,25000,jl32,0.8982047439627208,0.9824895831736028,0.9870839542970691
subsample_it_4_size_25000,4,25000,py,0.7792100841975846,0.9581507046079701,1.0
subsample_it_4_size_250000,4,250000,jl,0.7965044506432775,0.9695475502618425,0.9900497512437811
subsample_it_4_size_250000,4,250000,jl32,0.628469629817913,0.9272794044569532,0.9900497512437811
subsample_it_4_size_250000,4,250000,py,0.6174590073554999,0.9235217416217973,1.0
subsample_it_4_size_3000,4,3000,jl,0.9003192637040632,0.9778722162051439,0.9801980198019802
subsample_it_4_size_3000,4,3000,jl32,0.9505342988737797,0.988701603721209,0.9801980198019802
subsample_it_4_size_3000,4,3000,py,0.7064529695253818,0.9237433261000556,1.0
subsample_it_4_size_50000,4,50000,jl,0.8755940551738082,0.9778994999252991,0.9910403185664509
subsample_it_4_size_50000,4,50000,jl32,0.8729560251990285,0.9777921943671556,0.9910403185664509
subsample_it_4_size_50000,4,50000,py,0.5199095463002048,0.9077863822942577,1.0
subsample_it_4_size_500000,4,500000,jl,0.6987853020498939,0.954670265401326,0.9890601690701144
subsample_it_4_size_500000,4,500000,jl32,0.7607946659144443,0.9658793599751782,0.9890601690701144
subsample_it_4_size_500000,4,500000,py,0.6288096277106019,0.939597937921567,1.0
subsample_it_4_size_6000,4,6000,jl,0.9551994820637546,0.9907126734593314,0.9890601690701144
subsample_it_4_size_6000,4,6000,jl32,0.9640641566953198,0.9925437749927902,0.9890601690701144
subsample_it_4_size_6000,4,6000,py,0.751902448335127,0.9465609012278117,0.999000499750125
subsample_it_4_size_75000,4,75000,jl,0.8974107815791466,0.9815367039475366,0.9920318725099602
subsample_it_4_size_75000,4,75000,jl32,0.6481485988109852,0.9406341529699765,0.9920318725099602
subsample_it_4_size_75000,4,75000,py,0.6145071962234887,0.9294488972778526,1.0
subsample_it_4_size_750000,4,750000,jl,0.6087354331487338,0.9294623586301749,0.9851116625310173
subsample_it_4_size_750000,4,750000,jl32,0.6760476345006282,0.9519397837775677,0.9851116625310173
subsample_it_4_size_750000,4,750000,py,0.6784349430726017,0.9401656505188981,1.0
subsample_it_5_size_100000,5,100000,jl,0.6868068736769595,0.9483032650131032,0.9870839542970691
subsample_it_5_size_100000,5,100000,jl32,0.8333823563971446,0.9705793299964462,0.9870839542970691
subsample_it_5_size_100000,5,100000,py,0.7108072263104658,0.9449143229307596,1.0
subsample_it_5_size_12000,5,12000,jl,0.9417645312379057,0.9878270348605549,0.9880715705765407
subsample_it_5_size_12000,5,12000,jl32,0.9537443967630128,0.9902878119140887,0.9880715705765407
subsample_it_5_size_12000,5,12000,py,0.6447026212832451,0.9277167035198587,1.0
subsample_it_5_size_125000,5,125000,jl,0.8639748550853641,0.9797041210436718,0.9920318725099602
subsample_it_5_size_125000,5,125000,jl32,0.8034755811568639,0.970041642354393,0.9920318725099602
subsample_it_5_size_125000,5,125000,py,0.7133690009589423,0.9529836479767015,1.0
